,date,tweet,cleaning_the_tweets,len,Textblob,Vader
0,2019-07-15 23:49:00,@basedjigawatt If it happens in MCU X-Men again I'm walking out,basedjigawatt happens mcu x men walking,39,0,0
1,2019-07-15 23:49:00,RT @NathanZed: At the Avengers Headquarters of young black content creators https://t.co/WZdDkPhRmH,nathanzed avengers headqua ers young black ntent creators wzddkphrmh,68,-1,0
2,2019-07-15 23:49:01,RT @MCU_Direct: Expect to see a much more independent Peter Parker / Spider-Man in the MCU going forward... https://t.co/x6zyRNRWkh https:/,mcu direct expect see much independent peter parker spider man mcu going forward x zyrnrwkh,91,1,0
3,2019-07-15 23:49:02,@Medic968 Yup. Thor with their coaching/analytics will turn it around big time,medic yup thor aching analytics turn around big time,52,0,-1
4,2019-07-15 23:49:05,"RT @NYCj360: Why is iron man like this?
#boxisbroken #mvci #inf_smr #mvci_iro #endgame #iamironman #ironman https://t.co/DuhgQaLHTI",nycj iron man like boxisbroken mvci inf smr mvci iro endgame iamironman ironman duhgqalhti,90,0,1
5,2019-07-15 23:49:08,"RT @webshootrs: thanos: *looks at peter parker*

mcu women: https://t.co/PBmkXaI8QB",webshootrs thanos looks peter parker mcu women pbmkxai qb,57,0,0
6,2019-07-15 23:49:11,RT @MemesCentraI: Avengers got it all wrong https://t.co/rmt20DybBB,memescentrai avengers got wrong rmt dybbb,41,-1,-1
7,2019-07-15 23:49:12,RT @ComicBookNOW: MARVEL STUDIOS At SDCC: What Surprises To Expect! https://t.co/6vzs1vowvf https://t.co/AyEHYXNA9u,comicbooknow marvel studios sdcc surprises expect vzs vowvf ayehyxna u,70,0,1
8,2019-07-15 23:49:14,"RT @NYCj360: Why is iron man like this?
#boxisbroken #mvci #inf_smr #mvci_iro #endgame #iamironman #ironman https://t.co/DuhgQaLHTI",nycj iron man like boxisbroken mvci inf smr mvci iro endgame iamironman ironman duhgqalhti,90,0,1
9,2019-07-15 23:49:15,"RT @widowsrxmanov: if only the avengers had mentioned natasha and dedicated the final battle to her like this, then it would've been 10x be",widowsrxmanov avengers mentioned natasha dedicated final battle like would x,76,0,1
10,2019-07-15 23:49:18,King Thor The final Thor history by @jasonaaron https://t.co/5KUVTlzRRr,king thor final thor history jasonaaron kuvtlzrrr,49,0,0
11,2019-07-15 23:49:18,"RT @classicparker_: ""He's like Captain America and Thor rolled into one."" https://t.co/hReiDtRU2h",classicparker like captain america thor rolled one hreidtru h,61,0,1
12,2019-07-15 23:49:19,RT @supertoysplanet: Marvel Legends Gear Avengers Endgame Gauntlet Prop Replica - Entertainment Earth https://t.co/WYBW2Uk0MY https://t.co/,supe oysplanet marvel legends gear avengers endgame gauntlet prop replica ente ainment ea h wybw uk,99,0,1
13,2019-07-15 23:49:20,RT @cassettelang: this is a good time to remind you that emily blunt was almost the mcu's black widow https://t.co/tJh953D74B,cassettelang good time remind emily blunt almost mcu black widow tjh b,70,1,1
14,2019-07-15 23:49:21,RT @neIliescrain: the first female superhero to have her name in an mcu film title and the first female superhero to have a solo film in on,neiliescrain first female superhero name mcu film title first female superhero solo film,88,1,0
15,2019-07-15 23:49:21,"RT @heimdallstan: Thor: Ive missed you, mum. 

My heart: https://t.co/wIY0EGbmZz",heimdallstan thor ive missed mum hea wiy egbmzz,47,0,-1
16,2019-07-15 23:49:22,RT @DWood4Us: So... been reading a lot of @JamesGunn tweets as they scroll down my news-feed. I enjoy GotG and what he has done for the MCU,dwood us reading lot jamesgunn tweets scroll news feed enjoy gotg done mcu,74,1,1
17,2019-07-15 23:49:24,"RT @queenroman0ff: queen of mcu. that's all, that's the tweet. https://t.co/VxxpyzZc8c",queenroman ff queen mcu tweet vxxpyzzc c,40,0,1
18,2019-07-15 23:49:24,there's not a day where i don't wish this was our reality,day wish reality,16,0,1
